Tree	Node A-form	Node B-form	Node C-form	Node D-form	Node E-form	Node F-form	Node G-form	Node H-form	Node I-form	Node J-form	Node K-form	Node L-form	Node M-form	Node N-form	Node O-form	Node P-form	Node Q-form	Node R-form	Node S-form	Node T-form	Node U-form	Node V-form	Node W-form	Node X-form	Node Y-form	Node Z-form	Node A1-form	Node B1-form	Node C1-form	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Head node	MI	MI3	Dice	logDice	t-score	simple-LL
tako >fixed rekoč	tako	rekoč																												9	33.7	AB	"pattern {A [form=""tako""]; B [form=""rekoč""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22tako%22%5D%3B%20B%20%5Bform%3D%22reko%C4%8D%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	tako	8.52	14.86	0.03	8.79	2.99	28.19
vedno <advmod bolj	vedno	bolj																												9	33.7	AB	"pattern {B [form=""bolj""]; A [form=""vedno""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22bolj%22%5D%3B%20A%20%5Bform%3D%22vedno%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	bolj	5.59	11.93	0.04	9.35	2.94	12.64
vedno <advmod znova	vedno	znova																												9	33.7	AB	"pattern {B [form=""znova""]; A [form=""vedno""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22znova%22%5D%3B%20A%20%5Bform%3D%22vedno%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	znova	8.22	14.56	0.08	10.28	2.99	26.59
še >fixed posebno	še	posebno																												9	33.7	AB	"pattern {A [form=""še""]; B [form=""posebno""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22%C5%A1e%22%5D%3B%20B%20%5Bform%3D%22posebno%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	še	5.76	12.10	0.02	8.25	2.94	13.54
prav <advmod gotovo	prav	gotovo																												8	30.0	AB	"pattern {B [form=""gotovo""]; A [form=""prav""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22gotovo%22%5D%3B%20A%20%5Bform%3D%22prav%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	gotovo	8.59	14.59	0.08	10.29	2.82	25.41
veliko <advmod bolj	veliko	bolj																												8	30.0	AB	"pattern {B [form=""bolj""]; A [form=""veliko""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22bolj%22%5D%3B%20A%20%5Bform%3D%22veliko%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	bolj	5.28	11.28	0.03	9.12	2.76	9.83
še <advmod kako	še	kako																												8	30.0	AB	"pattern {B [form=""kako""]; A [form=""še""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22kako%22%5D%3B%20A%20%5Bform%3D%22%C5%A1e%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	kako	3.50	9.50	0.01	7.86	2.58	2.28
še <advmod vedno	še	vedno																												8	30.0	AB	"pattern {B [form=""vedno""]; A [form=""še""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22vedno%22%5D%3B%20A%20%5Bform%3D%22%C5%A1e%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	vedno	3.55	9.55	0.01	7.87	2.59	2.48
nekaj <advmod več >fixed kot	nekaj	več	kot																											7	26.2	ABC	"pattern {B [form=""več""]; A [form=""nekaj""]; C [form=""kot""]; B -[advmod]-> A; B -[fixed]-> C; B >> A; B << C} without {B -> X0} without {A -> X1} without {C -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22ve%C4%8D%22%5D%3B%20A%20%5Bform%3D%22nekaj%22%5D%3B%20C%20%5Bform%3D%22kot%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20-%5Bfixed%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BC%20-%3E%20X2%7D	3	več	11.55	17.17	0.01	7.52	2.64	34.68
po >fixed navadi	po	navadi																												7	26.2	AB	"pattern {A [form=""po""]; B [form=""navadi""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22po%22%5D%3B%20B%20%5Bform%3D%22navadi%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	po	7.03	12.65	0.01	7.79	2.63	15.74
tako <advmod zelo	tako	zelo																												7	26.2	AB	"pattern {B [form=""zelo""]; A [form=""tako""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22zelo%22%5D%3B%20A%20%5Bform%3D%22tako%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	zelo	3.53	9.15	0.02	7.99	2.42	2.10
zelo <advmod dobro	zelo	dobro																												7	26.2	AB	"pattern {B [form=""dobro""]; A [form=""zelo""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22dobro%22%5D%3B%20A%20%5Bform%3D%22zelo%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	dobro	5.89	11.51	0.04	9.26	2.60	11.07
Prav <advmod zato	Prav	zato																												6	22.5	AB	"pattern {B [form=""zato""]; A [form=""Prav""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22zato%22%5D%3B%20A%20%5Bform%3D%22Prav%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	zato	6.90	12.07	0.04	9.31	2.43	13.03
kar <advmod naprej	kar	naprej																												6	22.5	AB	"pattern {B [form=""naprej""]; A [form=""kar""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22naprej%22%5D%3B%20A%20%5Bform%3D%22kar%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	naprej	5.74	10.91	0.02	8.61	2.40	8.95
le <advmod redko	le	redko																												6	22.5	AB	"pattern {B [form=""redko""]; A [form=""le""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22redko%22%5D%3B%20A%20%5Bform%3D%22le%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	redko	8.62	13.79	0.03	8.88	2.44	19.19
čedalje <advmod bolj	čedalje	bolj																												6	22.5	AB	"pattern {B [form=""bolj""]; A [form=""čedalje""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22bolj%22%5D%3B%20A%20%5Bform%3D%22%C4%8Dedalje%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	bolj	9.30	14.47	0.05	9.54	2.45	21.62
še <advmod tako	še	tako																												6	22.5	AB	"pattern {B [form=""tako""]; A [form=""še""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22tako%22%5D%3B%20A%20%5Bform%3D%22%C5%A1e%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	tako	1.40	6.57	0.01	6.96	1.52	-2.40
še <advmod zdaleč	še	zdaleč																												6	22.5	AB	"pattern {B [form=""zdaleč""]; A [form=""še""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22zdale%C4%8D%22%5D%3B%20A%20%5Bform%3D%22%C5%A1e%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	zdaleč	7.95	13.12	0.01	7.72	2.44	16.78
že <advmod dolgo	že	dolgo																												6	22.5	AB	"pattern {B [form=""dolgo""]; A [form=""že""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22dolgo%22%5D%3B%20A%20%5Bform%3D%22%C5%BEe%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	dolgo	5.83	11.00	0.02	8.32	2.41	9.27
Več >fixed kot	Več	kot																												5	18.7	AB	"pattern {A [form=""Več""]; B [form=""kot""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22Ve%C4%8D%22%5D%3B%20B%20%5Bform%3D%22kot%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	Več	6.10	10.74	0.01	7.22	2.20	8.50
do <case zdaj	do	zdaj																												5	18.7	AB	"pattern {B [form=""zdaj""]; A [form=""do""]; B -[case]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22zdaj%22%5D%3B%20A%20%5Bform%3D%22do%22%5D%3B%20B%20-%5Bcase%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	zdaj	3.92	8.56	0.01	7.70	2.09	2.46
kaj <advmod hitro	kaj	hitro																												5	18.7	AB	"pattern {B [form=""hitro""]; A [form=""kaj""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22hitro%22%5D%3B%20A%20%5Bform%3D%22kaj%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	hitro	6.32	10.96	0.03	9.08	2.21	9.15
ne >fixed samo	ne	samo																												5	18.7	AB	"pattern {A [form=""ne""]; B [form=""samo""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22ne%22%5D%3B%20B%20%5Bform%3D%22samo%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	ne	2.18	6.82	0.01	6.73	1.74	-1.24
od <case daleč	od	daleč																												5	18.7	AB	"pattern {B [form=""daleč""]; A [form=""od""]; B -[case]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22dale%C4%8D%22%5D%3B%20A%20%5Bform%3D%22od%22%5D%3B%20B%20-%5Bcase%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	daleč	6.13	10.77	0.01	7.80	2.20	8.59
prav <advmod zato	prav	zato																												5	18.7	AB	"pattern {B [form=""zato""]; A [form=""prav""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22zato%22%5D%3B%20A%20%5Bform%3D%22prav%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	zato	4.85	9.50	0.02	8.55	2.16	4.96
tako >fixed imenovana	tako	imenovana																												5	18.7	AB	"pattern {A [form=""tako""]; B [form=""imenovana""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22tako%22%5D%3B%20B%20%5Bform%3D%22imenovana%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	tako	7.82	12.46	0.02	7.94	2.23	13.58
čim <advmod bolj	čim	bolj																												5	18.7	AB	"pattern {B [form=""bolj""]; A [form=""čim""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22bolj%22%5D%3B%20A%20%5Bform%3D%22%C4%8Dim%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	bolj	6.93	11.58	0.03	9.11	2.22	10.96
Še >fixed posebej	Še	posebej																												5	18.7	AB	"pattern {A [form=""Še""]; B [form=""posebej""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22%C5%A0e%22%5D%3B%20B%20%5Bform%3D%22posebej%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	Še	8.70	13.34	0.09	10.49	2.23	16.21
že <advmod prej	že	prej																												5	18.7	AB	"pattern {B [form=""prej""]; A [form=""že""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22prej%22%5D%3B%20A%20%5Bform%3D%22%C5%BEe%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	prej	5.26	9.90	0.02	8.03	2.18	6.08
Na >fixed primer	Na	primer																												4	15.0	AB	"pattern {A [form=""Na""]; B [form=""primer""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22Na%22%5D%3B%20B%20%5Bform%3D%22primer%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	Na	4.91	8.91	0.02	8.25	1.93	4.08
Od <case takrat	Od	takrat																												4	15.0	AB	"pattern {B [form=""takrat""]; A [form=""Od""]; B -[case]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22takrat%22%5D%3B%20A%20%5Bform%3D%22Od%22%5D%3B%20B%20-%5Bcase%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	takrat	7.75	11.75	0.06	9.86	1.99	10.70
kar <advmod precej	kar	precej																												4	15.0	AB	"pattern {B [form=""precej""]; A [form=""kar""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22precej%22%5D%3B%20A%20%5Bform%3D%22kar%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	precej	5.20	9.20	0.02	8.03	1.95	4.73
le <advmod tako	le	tako																												4	15.0	AB	"pattern {B [form=""tako""]; A [form=""le""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22tako%22%5D%3B%20A%20%5Bform%3D%22le%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	tako	2.00	6.00	0.01	6.95	1.50	-1.18
